GLOBALEVENTID	SQLDATE	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_FullName	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_FullName	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_FullName	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	DATEADDED	SOURCEURL
20150615.export.CSV:440964257	20150615	201506	2015	2015.4521	NZLMIL	NEW ZEALAND	NZL					MIL			TUR	TURKEY	TUR								1	042	042	04	1	1.9	4	1	4	-5.0531914893617	4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	1	Turkey	TU	TU	39	35	TU	1	Turkey	TU	TU	39	35	TU	20150615	http://www.irishtimes.com/opinion/an-irishman-s-diary-on-the-anti-conscription-archbishop-of-melbourne-and-the-pro-conscription-prime-minister-1.2247899
20150615.export.CSV:440964423	20150615	201506	2015	2015.4521	TUR	TURKEY	TUR								NZLMIL	NEW ZEALAND	NZL					MIL			1	043	043	04	1	2.8	6	1	6	-5.0531914893617	1	Turkey	TU	TU	39	35	TU	4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	20150615	http://www.irishtimes.com/opinion/an-irishman-s-diary-on-the-anti-conscription-archbishop-of-melbourne-and-the-pro-conscription-prime-minister-1.2247899
20150615.export.CSV:440964424	20150615	201506	2015	2015.4521	TUR	TURKEY	TUR								NZLMIL	NEW ZEALAND	NZL					MIL			1	043	043	04	1	2.8	4	1	4	-5.0531914893617	1	Turkey	TU	TU	39	35	TU	4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	1	Turkey	TU	TU	39	35	TU	20150615	http://www.irishtimes.com/opinion/an-irishman-s-diary-on-the-anti-conscription-archbishop-of-melbourne-and-the-pro-conscription-prime-minister-1.2247899
20150615.export.CSV:440988236	20150608	201506	2015	2015.4329	MIL	MILITARY						MIL			NZLEDU	NEW ZEALAND	NZL					EDU			1	043	043	04	1	2.8	6	1	6	1.2448132780083	4	Arthur Pass, New Zealand (general), New Zealand	NZ	NZ00	-42.95	171.567	-1522009	5	Southland, Southland, New Zealand	NZ	NZF8	-45.6667	168	11483307	4	Arthur Pass, New Zealand (general), New Zealand	NZ	NZ00	-42.95	171.567	-1522009	20150615	http://www.stuff.co.nz/southland-times/news/69384607/aurora-college-kids-stand-tall
20150615.export.CSV:440988237	20150608	201506	2015	2015.4329	NZLEDU	NEW ZEALAND	NZL					EDU			MIL	MILITARY						MIL			1	042	042	04	1	1.9	6	1	6	1.2448132780083	5	Southland, Southland, New Zealand	NZ	NZF8	-45.6667	168	11483307	5	Southland, Southland, New Zealand	NZ	NZF8	-45.6667	168	11483307	5	Southland, Southland, New Zealand	NZ	NZF8	-45.6667	168	11483307	20150615	http://www.stuff.co.nz/southland-times/news/69384607/aurora-college-kids-stand-tall
20150615.export.CSV:441003683	20150615	201506	2015	2015.4521	MIL	COMMANDER						MIL			NZLCOP	NEW ZEALAND	NZL					COP			1	050	050	05	1	3.5	8	2	8	0.27082361478256	4	Waitemata, New Zealand (general), New Zealand	NZ	NZ00	-36.7833	174.617	-1521070	4	Waitemata, New Zealand (general), New Zealand	NZ	NZ00	-36.7833	174.617	-1521070	4	Waitemata, New Zealand (general), New Zealand	NZ	NZ00	-36.7833	174.617	-1521070	20150615	http://www.voxy.co.nz/national/dna-technology-protects-school-property/5/223938
20150615.export.CSV:441014081	20150615	201506	2015	2015.4521	AUSMIL	AUSTRALIA	AUS					MIL			NZL	NEW ZEALAND	NZL								0	042	042	04	1	1.9	1	1	1	-7.02702702702703	1	Australia	AS	AS	-27	133	AS	1	Australia	AS	AS	-27	133	AS	1	Australia	AS	AS	-27	133	AS	20150615	http://www.wsws.org/en/articles/2015/06/15/abbo-j15.html
20150615.export.CSV:441014082	20150615	201506	2015	2015.4521	AUSMIL	AUSTRALIA	AUS					MIL			NZL	NEW ZEALAND	NZL								0	042	042	04	1	1.9	1	1	1	-7.02702702702703	1	Australia	AS	AS	-27	133	AS	1	New Zealand	NZ	NZ	-41	174	NZ	1	New Zealand	NZ	NZ	-41	174	NZ	20150615	http://www.wsws.org/en/articles/2015/06/15/abbo-j15.html
20150615.export.CSV:441015203	20150615	201506	2015	2015.4521	NZL	NEW ZEALAND	NZL								AUSMIL	AUSTRALIA	AUS					MIL			0	043	043	04	1	2.8	1	1	1	-7.02702702702703	1	Australia	AS	AS	-27	133	AS	1	Australia	AS	AS	-27	133	AS	1	Australia	AS	AS	-27	133	AS	20150615	http://www.wsws.org/en/articles/2015/06/15/abbo-j15.html
20150615.export.CSV:441015204	20150615	201506	2015	2015.4521	NZL	NEW ZEALAND	NZL								AUSMIL	AUSTRALIA	AUS					MIL			0	043	043	04	1	2.8	1	1	1	-7.02702702702703	1	New Zealand	NZ	NZ	-41	174	NZ	1	Australia	AS	AS	-27	133	AS	1	New Zealand	NZ	NZ	-41	174	NZ	20150615	http://www.wsws.org/en/articles/2015/06/15/abbo-j15.html
